zipcode,celebrity
89013,Ben Alexander
89013,Brad Dexter
89013,Doris Dawson
89013,Fred Sexton
89013,Walter S. Baring Jr.
89013,"Walter S. Baring, Jr."
89049,Bob Crowell
89049,Frank Woodrow O'Flaherty
89049,Hugh Bradner
89049,Thomas Grady
89049,Thomas Joseph Connolly
89049,William Robert Johnson
89316,Leland M. Ford
89316,Tony Mendez
89316,Warren J. Ferguson
89316,Warren John Ferguson
89403,Kevin Baugh
89406,Aarik Wilson
89406,Charles B. Fulton
89406,Charles Fulton
89406,Harvey Dahl
89406,John C. Carpenter
89406,Josh Mauga
89406,Martin Heinrich
89406,Mike McGinness
89406,Richard Walton Tully
89406,Virgil M. Getto
89410,Lawrence Jacobsen
89415,Jim Nash
89415,Shawn Boskie
89419,Alan Bible
89419,Charles H. Russell
89419,Clarence Clifton Young
89431,Bruce Breslow
89431,Gabby Williams
89431,Jena Malone
89431,Jim Gibbons
89431,Josh Weston
89431,Kyle Roberts
89431,Lloyd Butler
89431,M?dchen Amick
89431,Tiger
89431,Vernon White
89440,Alphonse Ethier
89440,Carrie Clark Ward
89440,Emmet D. Boyle
89440,Fred B. Balzar
89440,Hobart Cavanaugh
89440,Marion Jones Farquhar
89440,Richard Kirman Sr.
89440,"Richard Kirman, Sr."
89440,Stewart Tritle
89445,Bill Berry
89445,Bob Tallman
89445,Edna Purviance
89445,Harry Eugene Burke
89445,Henry F. Ashurst
89445,Jace Billingsley
89445,Vernon Alley
89445,William D. Swackhamer
89447,Edward C. Reed Jr.
89447,Edward Cornelius Reed Jr.
89447,Jesse Brinkley
89447,Joe Dini
89447,"Joseph E. Dini, Jr."
89447,Nevada Barr
89451,Brad Bitler
89503,Adam Laxalt
89503,Albert Edmunds Cahlan
89503,Armon Johnson
89503,Austin Young
89503,Brad Snyder
89503,Bradley Warren Snyder
89503,Brian Landrus
89503,Bryce Johnson
89503,Chas Guldemond
89503,Chase Ellison
89503,Chris Browning
89503,Chris Carr
89503,Chris Jones
89503,Chuck Ruff
89503,Clint Stitser
89503,Cody Mattern
89503,Coe Swobe
89503,Cosmo Baker
89503,Curtis Hanson
89503,Darren Mack
89503,Darth
89503,David Aiazzi
89503,David Huntsberger
89503,David L. Aiazzi
89503,David Padgett
89503,David Wise
89503,Dawn Wells
89503,Dick Thies
89503,Duke Williams
89503,Eric Whitacre
89503,Eva Twardokens
89503,Frederic Joseph DeLongchamps
89503,Gabriel Damon
89503,Geno Martini
89503,"Hands of Steel, The Comeback Kid"
89503,Harry Shannon
89503,Heidi Gansert
89503,Hillary Schieve
89503,Inga Thompson
89503,Ira Hansen
89503,J. Buzz Von Ornsteiner
89503,J. L. Reveal
89503,Jacob Dalton
89503,James David Santini
89503,James Lauritz Reveal
89503,Jeff Nady
89503,Jeff Rowe
89503,Jennifer Harman
89503,Jessica Nigri
89503,Jo-Jo Townsell
89503,Joe Hardy
89503,Joe Wieland
89503,John Albert
89503,John C. Arrowsmith
89503,John Caraway Arrowsmith
89503,John Gamble
89503,John Oceguera
89503,John T. Knox
89503,Josh Barrett
89503,Judy Rebick
89503,Julia Mancuso
89503,Just Loomis
89503,Kathy Weston
89503,Kevin Stadler
89503,Kristin Inga Thompson
89503,Kristoffer Polaha
89503,Kyle Van Noy
89503,Lane Spina
89503,Marie Nyswander
89503,Matt Marshall
89503,Melvin T. Brunetti
89503,Michael Weiss
89503,Mickey Lang
89503,Monique Burkland
89503,Monique Marie Burkland
89503,Nate Schierholtz
89503,Paige Sauer
89503,Pat McCarran
89503,Patrick D. Stewart
89503,Patrick Shannon Flury
89503,Patrick Stewart
89503,Paul Laxalt
89503,Prince
89503,Procter Hug
89503,"Procter Ralph Hug, Jr."
89503,Randy Messenger
89503,Rebecca D. Lockhart
89503,Rebecca Lockhart
89503,Richard William Thies
89503,Rob Richie
89503,Robert W. Naylor
89503,Ryan Bader
89503,Sailor Jerry
89503,Scott Cousins
89503,Scott Smith
89503,Scotty Bahrke
89503,Sean Palmer
89503,Shannon Bahrke
89503,Shanti Sethi
89503,Steven Lerud
89503,Steven T. Walther
89503,Sunny Ozell
89503,Ted Alflen
89503,Tom Hale
89503,Will Schusterick
89503,William Raggio
89503,Willy Vlautin
89701,Bryan Namoff
89701,Charles Holton
89701,Chuck Holton
89701,Darrell Rasner
89701,Denver Dickerson
89701,Dusty Bergman
89701,James C. Needham
89701,James Settelmeyer
89701,Julie Hardt
89701,Lauren Woodland
89701,Leslie Bradshaw
89701,Mark Amodei
89701,Maurice E. McLoughlin
89701,Nancy Angelo
89701,Pat Hickey
89701,Patrick Hickey
89727,Dat So La Lee
89727,"Louisa Keyser,"
89727,Nila northSun
90002,Aaron Meeks
90002,Dick Vertlieb
90002,Gil Bernal
90002,Imarjoe Miller
90002,Queen Muhammad Ali
90002,Tony Snell
90002,Wanda Coleman
90016,Peter Ramsey
90022,Ricky Romero
90022,Art Frias
90022,Arturo Frias
90022,Big John Mazmanian
90022,Bob Lynn
90022,Evelyn Guerrero
90022,Frankie Gómez
90022,Hampton Fancher
90022,Hector Ramirez
90022,J-vibe
90022,Jake Jaeckel
90022,James Costigan
90022,Jeff Glover
90022,Jerry Hernandez
90022,Jesús Francisco Gómez
90022,John Casado
