zipcode,confirmed_cases,deaths
94538,24370,465
94588,24370,465
94621,24370,465
94720,24370,465
94704,24370,465
95377,24370,465
94514,24370,465
94615,24370,465
94613,24370,465
94537,24370,465
94578,24370,465
94606,24370,465
94610,24370,465
94620,24370,465
94608,24370,465
94662,24370,465
94707,24370,465
94708,24370,465
95391,24370,465
95035,24370,465
94501,24370,465
94546,24370,465
94543,24370,465
94580,24370,465
94555,24370,465
94703,24370,465
94612,24370,465
94710,24370,465
94505,24370,465
94624,24370,465
94666,24370,465
94544,24370,465
94568,24370,465
94579,24370,465
94705,24370,465
94614,24370,465
94701,24370,465
94536,24370,465
94587,24370,465
94566,24370,465
94609,24370,465
94611,24370,465
94545,24370,465
94577,24370,465
94551,24370,465
94602,24370,465
94605,24370,465
94709,24370,465
94618,24370,465
94623,24370,465
94586,24370,465
94712,24370,465
94661,24370,465
94541,24370,465
94502,24370,465
94542,24370,465
94550,24370,465
94552,24370,465
94702,24370,465
94706,24370,465
94603,24370,465
94604,24370,465
94539,24370,465
94540,24370,465
94560,24370,465
94619,24370,465
94601,24370,465
94607,24370,465
94557,24370,465
95223,22,0
96120,22,0
95665,332,15
95675,332,15
95685,332,15
95666,332,15
95640,332,15
95689,332,15
95642,332,15
95629,332,15
95601,332,15
95654,332,15
95669,332,15
95699,332,15
95646,332,15
95901,3225,54
95929,3225,54
95940,3225,54
95928,3225,54
95954,3225,54
95914,3225,54
95958,3225,54
95927,3225,54
95967,3225,54
95942,3225,54
95978,3225,54
95973,3225,54
95916,3225,54
95917,3225,54
95930,3225,54
95965,3225,54
95941,3225,54
95976,3225,54
95926,3225,54
95938,3225,54
95968,3225,54
95974,3225,54
95969,3225,54
95966,3225,54
95948,3225,54
95252,361,21
95233,361,21
95224,361,21
95249,361,21
95247,361,21
95229,361,21
95226,361,21
95222,361,21
95246,361,21
95230,361,21
95223,361,21
95257,361,21
95221,361,21
95255,361,21
95245,361,21
95251,361,21
95232,361,21
95228,361,21
95254,361,21
95248,361,21
95236,361,21
95225,361,21
95950,576,6
95988,576,6
95932,576,6
95912,576,6
95979,576,6
95645,576,6
95939,576,6
95987,576,6
95970,576,6
95955,576,6
95957,576,6
94530,19685,250
94506,19685,250
94509,19685,250
94588,19685,250
94596,19685,250
94805,19685,250
94806,19685,250
94525,19685,250
94514,19685,250
94820,19685,250
94802,19685,250
94569,19685,250
94575,19685,250
94513,19685,250
94521,19685,250
94522,19685,250
94564,19685,250
94548,19685,250
94597,19685,250
94706,19685,250
94511,19685,250
94549,19685,250
94595,19685,250
94528,19685,250
94516,19685,250
94523,19685,250
94520,19685,250
94572,19685,250
94804,19685,250
94598,19685,250
94807,19685,250
94518,19685,250
94531,19685,250
94583,19685,250
94565,19685,250
94553,19685,250
94708,19685,250
94801,19685,250
94707,19685,250
94561,19685,250
94570,19685,250
94551,19685,250
94611,19685,250
94850,19685,250
94505,19685,250
94526,19685,250
94519,19685,250
94507,19685,250
94517,19685,250
94803,19685,250
94524,19685,250
94568,19685,250
94582,19685,250
94556,19685,250
94547,19685,250
94563,19685,250
95543,201,1
95538,201,1
95531,201,1
95532,201,1
95567,201,1
95548,201,1
95667,1469,4
95672,1469,4
95682,1469,4
95762,1469,4
95634,1469,4
95636,1469,4
95735,1469,4
95684,1469,4
95623,1469,4
95664,1469,4
95613,1469,4
95726,1469,4
95614,1469,4
95651,1469,4
95635,1469,4
95720,1469,4
95721,1469,4
95666,1469,4
95633,1469,4
95619,1469,4
96158,1469,4
95656,1469,4
96150,1469,4
96151,1469,4
95709,1469,4
96155,1469,4
95629,1469,4
96142,1469,4
93622,31952,447
93662,31952,447
93646,31952,447
93701,31952,447
93640,31952,447
93650,31952,447
93654,31952,447
93723,31952,447
93706,31952,447
93624,31952,447
93717,31952,447
93774,31952,447
93602,31952,447
93648,31952,447
93618,31952,447
93710,31952,447
93234,31952,447
93628,31952,447
93745,31952,447
93718,31952,447
93773,31952,447
93603,31952,447
93608,31952,447
93844,31952,447
93777,31952,447
93741,31952,447
93707,31952,447
93627,31952,447
93625,31952,447
93630,31952,447
93609,31952,447
93656,31952,447
93664,31952,447
93726,31952,447
93703,31952,447
93616,31952,447
93668,31952,447
93737,31952,447
93775,31952,447
93747,31952,447
93709,31952,447
93620,31952,447
93750,31952,447
93888,31952,447
93761,31952,447
93786,31952,447
93613,31952,447
93721,31952,447
93792,31952,447
93708,31952,447
93794,31952,447
93744,31952,447
93652,31952,447
93790,31952,447
93760,31952,447
93772,31952,447
93793,31952,447
93634,31952,447
93765,31952,447
93647,31952,447
93619,31952,447
93612,31952,447
93631,31952,447
93728,31952,447
93660,31952,447
93651,31952,447
93771,31952,447
93778,31952,447
93740,31952,447
93210,31952,447
93704,31952,447
93711,31952,447
93725,31952,447
93730,31952,447
93724,31952,447
93714,31952,447
93715,31952,447
93791,31952,447
93606,31952,447
93642,31952,447
93605,31952,447
93242,31952,447
93611,31952,447
93626,31952,447
93705,31952,447
93722,31952,447
93720,31952,447
93729,31952,447
93755,31952,447
93776,31952,447
93716,31952,447
93764,31952,447
93649,31952,447
93621,31952,447
93667,31952,447
93675,31952,447
93657,31952,447
93727,31952,447
93702,31952,447
93641,31952,447
93712,31952,447
93779,31952,447
95951,714,3
95913,714,3
95939,714,3
95988,714,3
95943,714,3
95920,714,3
95970,714,3
95963,714,3
95540,599,10
95502,599,10
95549,599,10
95551,599,10
95589,599,10
95528,599,10
95519,599,10
95521,599,10
95546,599,10
95536,599,10
95558,599,10
95537,599,10
95565,599,10
95555,599,10
95568,599,10
95503,599,10
95542,599,10
95562,599,10
95518,599,10
95573,599,10
95511,599,10
95556,599,10
95545,599,10
95553,599,10
95570,599,10
95524,599,10
95550,599,10
95587,599,10
95554,599,10
95526,599,10
95559,599,10
95534,599,10
95525,599,10
95547,599,10
95564,599,10
95501,599,10
95560,599,10
95569,599,10
95514,599,10
95563,599,10
95571,599,10
92251,13330,340
