zipcode,celebrity
89013,Dick Gilbert
89013,Virgil Earp
89013,Virgil Walter Earp
89022,Frank E. Hill
89049,Alexander M. Hardy
89049,Del Andrews
89049,Harry Stewart
89049,Helen Chenoweth-Hage
89049,Stalking Cat
89049,Yogi Yorgesson
89402,William R. Eadington
89402,William Richard Eadington
89403,Billy Curtis
89406,Gene Robertson
89406,Virgil M. Getto
89410,Lawrence Jacobsen
89410,Ted Connolly
89413,Leo Buscaglia
89415,Pat McCarran
89419,Wayde Preston
89431,Archie Campbell
89431,Bud Morse
89431,Emmett O'Neill
89431,Eugene F. Clark
89431,Milton K. Ozaki
89431,Myrl Goodwin
89440,Julia Bulette
89445,Horace F. Bartine
89449,Sonny Bono
89503,Al Akins
89503,Allen Doone
89503,André Muller Weitzenhoffer
89503,Antonio J. Villegas
89503,Antonio Villegas
89503,Art Sunday
89503,Arthur Dake
89503,Barbara Ruick
89503,Barbara Vucanovich
89503,Bayliss Levrett
89503,Bill Fleming
89503,Bill Lear
89503,Bob Wilkins
89503,Brianna Zunino Denison
89503,Bud Magrum
89503,Bud Toscani
89503,Carl Kress
89503,Charles L. Richards
89503,Charley Smith
89503,Clarence Clifton Young
89503,Cynthia Irwin-Williams
89503,David Towell
89503,Debbie Smith
89503,Dizzy Dean
89503,Don Galloway
89503,Don Manoukian
89503,Don McKenzie
89503,"Donald Ward McKenzie, Jr."
89503,Edgar Nemir
89503,Eduard Ingris
89503,Eduardo Sencion
89503,Edward C. Reed Jr.
89503,Edward Cornelius Reed Jr.
89503,Edward P. Carville
89503,Edwin E. Roberts
89503,Efrem Zimbalist
89503,Emmet D. Boyle
89503,Ernest S. Brown
89503,Errett Lobban Cord
89503,Eva Adams
89503,Eva Bertrand Adams
89503,Frederic Joseph DeLongchamps
89503,Gary Brandner
89503,Gene Savoy
89503,George A. Bartlett
89503,George Williams Cassidy
89503,Glenn Holtzman
89503,Gwen Lee
89503,Harry Thompson
89503,Helen Rulison Shipley
89503,Howie Goss
89503,Jalal Keshmiri
89503,Jeanne Elizabeth Wier
89503,Jeanne Wier
89503,Jimmy Leeward
89503,Joe Dini
89503,John Shirley Wood
89503,"Joseph E. Dini, Jr."
89503,Karl Olson
89503,Kathy Augustine
89503,Key Pittman
89503,Larry Evans
89503,Lois Wilson
89503,Maurice J. Sullivan
89503,Max Morris
89503,Morley Griswold
89503,Nate Kazebier
89503,Nathaniel Marston
89503,Ollie O'Mara
89503,Oscar Bonavena
89503,Oscar Natalio Bonavena
89503,Pat Brady
89503,Reno Browne
89503,Richard K. Sorenson
89503,Richard Keith Sorenson
89503,Rick Kane
89503,Robert Gene Wilkins
89503,Robert Laxalt
89503,Robert Laxant
89503,Rod Scurry
89503,Sable Starr
89503,Sam Donahue
89503,Samuel Goudsmit
89503,Samuel S. Arentz
89503,Shirley Walker
89503,Sunset Carson
89503,Thomas Farrell
89503,Thomas W. Miller
89503,Thomas Wren
89503,Tony Settember
89503,Tura Satana
89503,Val Valentin
89503,Velma Bronn Johnston
89503,Walter Van Tilburg Clark
89503,"William Smith, 4th Viscount Hambleden"
89701,Abraham Curry
89701,Abraham Van Santvoord Curry
89701,Alanson W. Nightingill
89701,Charles C. Stevenson
89701,Charles H. Russell
89701,Charles L. Smith
89701,"Charles Litton, Sr."
89701,Dat So La Lee
89701,David Eddings
89701,David L. Gregg
89701,Denver S. Dickerson
89701,Duane Leroy Bliss
89701,Elliott Jones
89701,Fred B. Balzar
89701,Gee Jon
89701,Hardin Barry
89701,Jack Chapman Medica
89701,Jack Medica
89701,Jerry Kelly
89701,John Henry Kinkead
89701,John Sparks
89701,"Louisa Keyser,"
89701,Pete Livermore
89701,Richard Kirman Sr.
89701,"Richard Kirman, Sr."
89701,Ronald DeWolf
89701,Roswell K. Colcord
89701,Wilbur Faiss
89701,William Woodburn
90002,Zue Robertson
90017,Inez Milholland
90017,Thomas F. Hamilton
90022,Cristobal Aguilar
90022,Karen Boccalero
90024,Robert Wise
90024,Sandra Zober
90024,Faiza Fouad Rauf
90024,Faiza Rauf
90024,Mainak Sarkar
90024,Mildred Ester Mathias
90024,Robert E. Dolan
90025,Charles Older
90025,Dick Powell
90025,George Lloyd
90025,Harry Hayden
90025,James Wallace O'Connor
90025,Rachel Rosenthal
90025,Roger Terry
90025,Russell M. Saunders
