celebrity,almaMater
Adriana Ocampo,California State University
Adriana Ocampo Uria,California State University
Amanda Aguirre,California State University
Antonio Villaraigosa,East Los Angeles College
Bob Wasserman,California State University
Carl Bergmanson,California State University
Charles Calderon,California State University
Corbin Bleu,Los Angeles County High School for the Arts
Daniel Knauf,California State University
Diane Watson,California State University
Donald Sterling,California State University
Garland Ellis Burrell Jr.,California State University
"Garland, Burrell, Jr.",California State University
Gloria Molina,Rio Hondo College
Gloria Molina,California State University
Gloria Molina,East Los Angeles College
Greg Barron,California State University
Greg R. Barron,California State University
Heinz Hofschneider,California State University
Jean Fuller,California State University
Joe Baca,California State University
John Noguez,California State University
John R. Noguez,California State University
Juanita Millender-McDonald,California State University
Leana Sheryle Wen,California State University
Leana Wen,California State University
Lorraine Rothman,California State University
Lourdes A. Leon Guerrero,California State University
Lourdes Aflague Leon Guerrero,California State University
Lucille Roybal-Allard,California State University
Maria Contreras-Sweet,California State University
Maxine Waters,California State University
Mervyn M. Dymally,California State University
Michael Antonovich,California State University
Michael D. Antonovich,California State University
Michael S. Harper,California State University
Naveed Qamar,California State University
Robert A. Underwood,California State University
Robert J. Sandoval,California State University
Robert Underwood,California State University
Robert Vaughn,California State University
Ronald N. Hartman,California State University
Seymour Liebergot,California State University
Steve Cooley,California State University
Stuart Spencer,East Los Angeles College
Tom LaBonge,California State University
Victor Soltero,California State University
Walter E. Williams,California State University
William John Cox,Rio Hondo College
