zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
90001,0.34,0.11,0.0,28.15,0.02,0.04,0.45,0.64,0.43,46108.25
90002,0.37,0.2,0.01,26.54,0.03,0.05,0.52,0.58,0.4,44823.38
90003,0.3,0.24,0.0,28.73,0.03,0.06,0.53,0.63,0.37,44280.82
90004,0.33,0.04,0.29,36.18,0.01,0.28,0.69,0.74,0.37,71551.2
90005,0.29,0.06,0.35,35.49,0.01,0.39,0.77,0.78,0.3,77003.3
90006,0.25,0.04,0.2,33.74,0.01,0.18,0.56,0.74,0.31,42983.87
90007,0.26,0.16,0.08,30.8,0.01,0.15,0.57,0.63,0.3,46843.55
90008,0.15,0.72,0.03,43.33,0.03,0.29,0.86,0.67,0.25,78524.67
90010,0.19,0.05,0.32,35.75,0.02,0.29,0.62,0.75,0.25,55825.5
90011,0.43,0.08,0.01,28.34,0.02,0.04,0.39,0.67,0.42,42644.26
90012,0.29,0.1,0.43,41.47,0.03,0.35,0.72,0.62,0.25,70598.62
90013,0.5,0.19,0.13,38.1,0.03,0.51,0.89,0.75,0.14,161636.0
90014,0.39,0.13,0.05,33.7,0.03,0.35,0.64,0.74,0.08,77573.0
90015,0.32,0.07,0.07,30.63,0.02,0.15,0.51,0.73,0.28,38221.71
90016,0.35,0.34,0.05,36.94,0.02,0.21,0.73,0.7,0.33,68805.44
90017,0.38,0.04,0.11,30.85,0.02,0.19,0.48,0.72,0.28,44880.83
90018,0.2,0.26,0.06,35.03,0.01,0.17,0.66,0.69,0.34,59646.42
90019,0.35,0.19,0.17,38.2,0.01,0.36,0.78,0.77,0.35,93484.25
90020,0.31,0.06,0.43,35.48,0.01,0.41,0.82,0.74,0.34,78376.57
90021,0.32,0.53,0.02,52.8,0.02,0.09,0.7,0.18,0.0,6445.0
90022,0.5,0.0,0.06,33.42,0.01,0.1,0.52,0.68,0.46,58679.14
90023,0.66,0.01,0.03,32.11,0.01,0.11,0.49,0.69,0.47,59276.13
90024,0.72,0.02,0.2,40.99,0.0,0.72,0.97,0.66,0.32,230679.14
90025,0.63,0.03,0.21,34.44,-0.0,0.66,0.92,0.79,0.29,132492.8
90026,0.49,0.04,0.18,35.03,0.01,0.39,0.76,0.76,0.28,89550.61
90027,0.68,0.03,0.14,38.57,0.0,0.53,0.91,0.76,0.28,129097.23
90028,0.59,0.06,0.1,35.55,0.0,0.49,0.88,0.75,0.21,91442.36
