zipcode,confirmed_cases,deaths
90032,315615,7140
90035,315615,7140
90056,315615,7140
90402,315615,7140
90403,315615,7140
90405,315615,7140
90401,315615,7140
90274,315615,7140
90018,315615,7140
90026,315615,7140
90016,315615,7140
90021,315615,7140
90746,315615,7140
90733,315615,7140
90254,315615,7140
90210,315615,7140
90079,315615,7140
90212,315615,7140
90213,315615,7140
90255,315615,7140
90815,315615,7140
91006,315615,7140
91046,315615,7140
91108,315615,7140
93550,315615,7140
93590,315615,7140
93552,315615,7140
91402,315615,7140
91405,315615,7140
91344,315615,7140
91362,315615,7140
91617,315615,7140
91302,315615,7140
91321,315615,7140
91330,315615,7140
91748,315615,7140
91754,315615,7140
91744,315615,7140
91715,315615,7140
91765,315615,7140
91790,315615,7140
90603,315615,7140
90605,315615,7140
90307,315615,7140
90209,315615,7140
91507,315615,7140
91778,315615,7140
91009,315615,7140
91408,315615,7140
91115,315615,7140
91793,315615,7140
90652,315615,7140
90295,315615,7140
90508,315615,7140
91769,315615,7140
91346,315615,7140
91365,315615,7140
90651,315615,7140
90306,315615,7140
90661,315615,7140
91199,315615,7140
90846,315615,7140
90671,315615,7140
90048,315615,7140
90039,315615,7140
90047,315615,7140
90301,315615,7140
90305,315615,7140
90293,315615,7140
90502,315615,7140
90265,315615,7140
90025,315615,7140
90004,315615,7140
90013,315615,7140
90027,315615,7140
90802,315615,7140
90805,315615,7140
90801,315615,7140
90241,315615,7140
90069,315615,7140
90220,315615,7140
90087,315615,7140
91201,315615,7140
91001,315615,7140
91203,315615,7140
91436,315615,7140
91364,315615,7140
91601,315615,7140
91605,315615,7140
91340,315615,7140
91307,315615,7140
91301,315615,7140
91313,315615,7140
91221,315615,7140
91723,315615,7140
91741,315615,7140
91803,315615,7140
91768,315615,7140
91792,315615,7140
90604,315615,7140
90637,315615,7140
90660,315615,7140
90294,315615,7140
90081,315615,7140
91210,315615,7140
90831,315615,7140
91413,315615,7140
91603,315615,7140
90095,315615,7140
91392,315615,7140
