zipcode,celebrity
91776,Allan Sandage
91770,Ananda W. P. Guruge
90032,Anna Chandler
91776,Benjamin Davis Wilson
91776,Chief Tahachee
90022,Cristobal Aguilar
91776,Curly Howard
91776,Danny Barcelona
91754,Dink O'Brien
91754,Edward J. Hogan
91776,Emil Breitkreutz
91754,Ernest Hallen
91776,Fred Carisch
91754,George E. Danielson
91776,Gerónimo Boscana
91803,Helen Jerome Eddy
91776,Herbert Evans
91803,Jean-Marie-Rodrigue Villeneuve
91754,Johan Hendrik Weidner
91803,John Polich
91776,José María Pico
90022,Karen Boccalero
91803,Lana Clarkson
91776,Lloyd Hughes
91776,Lou Koupal
91770,Marie Louise Scudder Myrick
91776,Merrill McCormick
91803,Morton E. Post
91803,Morton Everel Post
91803,Nathan W. Hale
91803,Nathan Wesley Hale
91776,Sheldon Lewis
91803,Stanisław Pastecki
91754,Timothy Lin
91776,Walt Slagle
91803,William Ashburner Cattell
