celebrity,zipcode
A. D. Flowers,92832
A. Earl Hedrick,90605
A. Edward Sutherland,99262
A. Roy Knabenshue,91780
Aaron Bank,92629
Abbey Wiliams Hill,92651
Abbie Newell,93280
Abby Williams Hill,92651
Abe Olman,92270
Abel Fernandez,93280
Abelardo L. Rodríguez,92037
Abner Biberman,92101
Adam Brodzisz,92240
Addison Pratt,92805
Adelaide Hiebel,92703
Adele Ritchie,92651
Admiral Alfred C. Richmond,91711
Adolph Deutsch,92260
Adolph Rickenbacker,90071
Adrianne Wadewitz,99262
Agnes Christine Johnston,92101
Agnes Morgan,92410
Agnes Vernon,92101
Agustín V. Zamorano,93940
Agustín Vicente Zamorano,93940
Akim Tamiroff,99262
Al Adamson,92201
Al Campanis,92832
Al G. Barnes,92201
Al Israel,91790
Al Kvasnak,91006
Al Overton,92674
Al Pearce,92662
Al Rosen,90028
Al Stump,92662
Al Wilson,93280
Alan Freed,99262
Alan Ladd,99262
Alan Morgan,92270
Alan Rodgers,92805
Albert Frey,99262
Albert Goodwill Spalding,92101
"Albert L. Reeves, Jr.",92037
Albert N. Gualano,92410
Albert W. Hawkes,93280
Albert Wahl Hawkes,93280
Alberta Schenck Adams,92805
Alberts Šeibelis,92101
Alex Dreier,92270
Alex Groza,92101
Alex Hannum,92101
Alexander Golitzen,92101
Alexander M. Hardy,89049
Alfred C. Richmond,91711
Alfred D. Robinson,93280
Alfred Fitch,92666
Alfred H. Noble,92037
Alfred Houston Noble,92037
Alfred L. Werker,93280
Alfred Lion,92101
Alfred Mullikin Boyce,92506
Alfred V. Verville,92037
Alice Day,92666
Alice Faye,92270
Alice Hollister,92626
Alice Huyler Ramsey,91723
Alice Marble,93280
Alicemarie Huber Stotler,92886
Allan Kaprow,92024
Allan Rockwell McCann,92101
Allan W. Eckert,92879
Allard Roen,92009-1114
Allen Allensworth,91016
Allen Conkwright,91942
Allen Paulson,92037
Allene Ray,91780
Allie Wrubel,93280
Allison Hayes,92101
Aloha Wanderwell,92662
Alonzo Horton,92101
Alpheus George Barnes Stonehouse,92201
Alphonso Taft,92101
Alvy Moore,93280
Amanda Randolph,91010
Amelita Galli-Curci,92037
Amy Jones,92027-2310
Anatol Josepho,92037
Anders Haugen,92399
Andrea Leeds,99262
Andrew A. Benson,93280
Andrew Benson,93280
Andrew Joseph Galambos,92604
Andrew Leo Bettwy,92101
Andy Carey,92626
Andy DeMize,92832
Andy Devine,93280
Andy Engman,92372
Andy Fraser,92592
Andy Phillip,92270
Andy Samuel,92324
Anissa Jones,92057
Ann Forrest,93280
Anna Althea Hills,92651
Anna Hills,92651
Anna Q. Nilsson,92543
Annabelle Lee,92626
Anne Brigman,90071
Anne Ewing,92101
Anne S. Young,91711
Anne Sewell Young,91711
Anne T. Hill,92270
Anthony George,92662
Antoinette Funk,93280
Anton Grot,90680
Antonio José Martínez,92025
Antony Emerson,92662
Anzia Yezierska,91761
Arcesi,93280
Arcesia,93280
Archibald Lee Wright,92101
"Archie J. Old, Jr.",92518
Archie Moore,92101
Aristid von Grosse,92653
Arleen Whelan,92604
Arletta Duncan,92703
Armida,92395
Armida Vendrell,92395
Arn Shein,92101
Arnold Fishkind,92260
Arnold Klein,92270
Arnold Orville Beckman,92037
Art Chester,92101
Art Gilmore,93280
Art James,99262
Art Mix,93280
Art Passarella,92543
Art Satherley,92708
Arthur Berthelet,92083
Arthur Elrod,99262
Arthur Highland,92101
Arthur Johnston,92625
Arthur K. Snyder,93280
Arthur Lake,92235
Arthur M. Wolfe,92037
Arthur Nowick,92662
Arthur Piantadosi,92662
Arthur Raymond Highland,92101
Arthur S. Nowick,92662
Arthur T. Horman,93280
Arthur William Savage,92101
Audrey Patterson,91950
Augustus Roy Knabenshue,91780
Aut Erickson,93280
Avrum Stroll,92037
Azariel Blanchard Miller,93280
B. J. Baker,92270
B. Platt Carpenter,91911
Babe Dahlgren,91006
Babe Twombly,92674
Baby Fae,92354
Baby Marie Osborne,92674
Baird Bryant,92543
Barbara Avedon,99262
Barbara Kent,92260
Barbara Marshall,93280
Barbara McLean,92662
Barbara Payton,92101
Barbara Read,92651
Barbara Werle,92009-1114
Barney Kessel,92101
Barry Fell,92101
Bart Quinn,90720
Belinda Lee,92410
Belle Benchley,93280
