celebrity,zipcode
Allan Sandage,91776
Ananda W. P. Guruge,91770
Anna Chandler,90032
Benjamin Davis Wilson,91776
Chief Tahachee,91776
Cristobal Aguilar,90022
Curly Howard,91776
Danny Barcelona,91776
Dink O'Brien,91754
Edward J. Hogan,91754
Emil Breitkreutz,91776
Ernest Hallen,91754
Fred Carisch,91776
George E. Danielson,91754
Gerónimo Boscana,91776
Helen Jerome Eddy,91803
Herbert Evans,91776
Jean-Marie-Rodrigue Villeneuve,91803
Johan Hendrik Weidner,91754
John Polich,91803
José María Pico,91776
Karen Boccalero,90022
Lana Clarkson,91803
Lloyd Hughes,91776
Lou Koupal,91776
Marie Louise Scudder Myrick,91770
Merrill McCormick,91776
Morton E. Post,91803
Morton Everel Post,91803
Nathan W. Hale,91803
Nathan Wesley Hale,91803
Sheldon Lewis,91776
Stanisław Pastecki,91803
Timothy Lin,91754
Walt Slagle,91776
William Ashburner Cattell,91803
