celebrity,zipcode
"""Rockin' Robin"" Roberts",0
Ad Santel,94501
Adolph Ernst,94501
Al Santel,94501
Albert Baez,0
Albert Kellogg,94501
Alden W. Clausen,94010
Allan Nevins,94402
Anna Demetrio,94402
Anna Teresa Margareta Johansson,94402
Annie Fox,0
Annie G. Fox,0
Anthony Clifford Allison,94002
Arthur Nahl,94501
Arthur Roberts,94402
Austin Clapp,94062
Austin Rhone Clapp,94062
Bert Cole,94402
Bill Kirschbaum,94402
Bill Tozer,94002
Bill Walsh,94062
Bill Werle,94402
Bob Marshall,94010
Bob O. Evans,94010
Bobby Bonds,94070
Captain John Barneson,94402
Charles Alden Black,94062
Charles E. Bunnell,94010
Charles E. Moore,94402
Charles F. Spalding,94010
Charles R. Blyth,94010
Chris Nelson,0
Cuthbert Hurd,94402
Cy Williams,94501
César Jayme,94402
Darius Ogden Mills,94030
Dave Needle,94501
David Breeden,94002
David Hyman Morris,94402
David Laamea Kamananakapu Mahinulani Naloiaehuokalani Lumialani Kalākaua,90104
David McKee Breeden,94002
Dick Bartell,94501
Dick Jones,94010
Dino Restelli,94070
Dolph Camilli,94402
Donald deAvila Jackson,94405
Dorothy Stolze,94501
Eddie Bockman,94030
Edward H. Schafer,94501
Edward Payson Van Duzee,94501
Emory Johnson,94402
"Eugenio Lopez, Jr.",94010
Eugenio M. López Jr.,94010
Faxon Atherton,0
Faxon Dean Atherton,0
Francis Pakenham,94501
Frank Zupo,94010
Franklin Mieuli,0
Frederick Steele,94402
Gene Steere,94402
George Blanda,94501
George Kelly,94010
George Mitchell,94501
George Montgomery Scott,94402
George Morrow,94402
George Paul Miller,94501
George Tuck,94402
George Washington Vanderbilt III,94108
Gerhardt Anthony Steffen,94010
Glen H. Taylor,94010
Grace Jones Morgan,94501
Greta Johansson,94402
Hank Luisetti,94402
Hank Sauer,94010
Harold Camping,94501
Harry Morris,94402
Heinrich Scheller,94070
Heinz von Foerster,94060
Holger Thiele,94501
Hugo Anton Fisher,94501
Hugo Wilhelm Arthur Nahl,94501
Irene Manning,94070
Isadore Gomez,94501
Izzy Gomez,94501
James Corson,94010
James Pierpont,94402
Jennison Heaton,94010
Jim Asbell,94402
Jim Davis,94402
Jimmy Lanza,94402
John Adam Fleming,94402
John Barneson,94402
John Boland,94402
John Hellyer Liddell,94501
John J. McGrath,94402
John Liddell,94501
John R. Glascock,94062
John Sperling,0
Joseph Knowland,94501
José Joaquín Moraga,94111
Julio Bonetti,94002
Kalākaua,90104
Laura Redden Searing,0
Lew Christensen,94402
Li Fang-Kuei,0
Loretta McNeil,94402
Louise A. Crow,94402
Louise Crow,94402
Luis Antonio Argüello,94111
Lurline Matson Roth,94010
Mahmoud Zoufonoun,0
Marian Brown,94402
Marion E. Wong,94501
Marjorie Gestring,94010
Michael Theodore Gottlieb,94010
Mike Fitzgerald,94402
Monroe Owsley,94002
Moreese Bickham,94501
Morris Kirksey,94402
Mysterious Carpenter,94501
Omar Ahmad,94070
Oscar Westerberg,94501
Oskar Heil,94402
Otto Carpenter,94501
Paul B. Fay,94062
Paul L. Kirk,94501
Prince Vasili Alexandrovich of Russia,94062
Prince Vasili Alexandrovich,94062
Rafael Storm,94501
Ralph Wenzel,94402
Ray Apolskis,94402
Ray French,94501
Ray Medeiros,94402
Red Baldwin,94501
Remo Bosia,94070
Ren Kelly,94030
Richard Lashof,94501
Robert C. Belloni,94402
Robert Cottle,94402
Robert Crown,94501
Robert Jeangerard,94002
Robert S. Cottle,94402
Robert W. Crown,94501
Rockin' Robin Roberts,0
Roger Q. Williams,94501
Roger Quincy Williams,94501
Ronnie Montrose,94030
Roxy Walters,94501
Samuel Paul Welles,94402
Saul Landau,94501
Shirley Temple,94062
Smead Jolley,94501
Stephen Jurika,94402
Stephen Jurika Jr.,94402
Stewart Edward White,94010
Ted Osborne,0
Timothy Guy Phelps,94070
Tom Clausen,94010
Tom Tennant,94070
Tommy Davis,94030
Tony Compagno,94402
Tony Gaudio,94010
Vivian Brown,94402
Wagner Jorgensen,94402
Welker Cochran,94002
Whitney Reed,94501
Wilhelmina von Bremen,94501
Willard Waterman,94010
William F. Train,94402
William Frew Train II,94402
William Thomas Kirschbaum,94402
Willie Kamm,94002
Willie Ritchie,94010
Wilmar H. Shiras,94501
