celebrity,hometown,x,y
!!!,Sacramento,38.5556,-121.469
A Band Called Pain,Oakland,37.8044,-122.273
A Band of Orcs,Santa Cruz,36.9719,-122.026
A Cursive Memory,California,35.4586,-119.355
A Drop in the Gray,California,35.4586,-119.355
A Lighter Shade of Brown,California,35.4586,-119.355
A Lot Like Birds,California,35.4586,-119.355
A Million Machines,Silver Lake,34.0944,-118.268
A Perfect Circle,California,35.4586,-119.355
A Skylit Drive,Lodi,38.1289,-121.281
A Static Lullaby,Chino Hills,33.9753,-117.759
A Thorn for Every Heart,Chino Hills,33.9753,-117.759
A-Plus,Oakland,37.8044,-122.273
AC/DShe,California,35.4586,-119.355
ACxDC,Los Angeles,34.05,-118.25
AFI,Ukiah,39.1503,-123.208
AMG,Inglewood,33.9575,-118.346
APOCRYPHO,Orange County,33.67,-117.78
ARORA,California,35.4586,-119.355
Aaron Bertram,Orange County,33.67,-117.78
Aaron Cometbus,Berkeley,37.8717,-122.275
Aaron Embry,Bellflower,33.8881,-118.128
Aaron North,Los Angeles,34.05,-118.25
Ab-Soul,Carson,33.8397,-118.26
Abattoir,Los Angeles,34.05,-118.25
Abdul Alim Musa,California,35.4586,-119.355
Abe Vigoda,Chino,34.0178,-117.69
Abecedarians,California,35.4586,-119.355
Above the Law,California,35.4586,-119.355
Abscess,California,35.4586,-119.355
Ace Andres,Stockton,37.9756,-121.301
Aceyalone,California,35.4586,-119.355
Acme Rocket Quartet,California,35.4586,-119.355
Act As If,California,35.4586,-119.355
Act of Defiance,California,35.4586,-119.355
Adam Again,California,35.4586,-119.355
Adam Bravin,California,35.4586,-119.355
Adam Carson,Ukiah,39.1503,-123.208
Adam Christing,California,35.4586,-119.355
Adam Gnade,California,35.4586,-119.355
Adam Merrin,California,35.4586,-119.355
Adam Samuel Goldman,California,35.4586,-119.355
Adanna Duru,Diamond Bar,34.0017,-117.821
Adelitas Way,Nevada,39.0,-117.0
Adler,California,35.4586,-119.355
Adler's Appetite,California,35.4586,-119.355
Admiral Radley,California,35.4586,-119.355
Adolescents,Fullerton,33.88,-117.929
Adrian Younge,Los Angeles,34.05,-118.25
Aero Chord,Los Angeles,34.05,-118.25
Aesthetic Perfection,California,35.4586,-119.355
After Romeo,California,35.4586,-119.355
After the Chase,Petaluma,38.2458,-122.631
Afternoons,California,35.4586,-119.355
Against All Will,California,35.4586,-119.355
Agent 51,Poway,32.97,-117.039
Agent Orange,Orange County,33.67,-117.78
Agent Sparks,Calabasas,34.1383,-118.661
Ahmad,California,35.4586,-119.355
Aimee Echo,California,35.4586,-119.355
Aimee Miller,California,35.4586,-119.355
Ak'Sent,Los Angeles,34.05,-118.25
Aksent,Los Angeles,34.05,-118.25
Al Cisneros,San Jose,37.3333,-121.9
Al Jardine,Hawthorne,33.9172,-118.349
Alaina Kwan,Cypress,33.8183,-118.039
Alaina Sue Kwan,Cypress,33.8183,-118.039
Alaska!,California,35.4586,-119.355
Albert McNeil Jubilee Singers,California,35.4586,-119.355
Alcatrazz,California,35.4586,-119.355
Alessi Brothers,California,35.4586,-119.355
Alex Blanc,California,35.4586,-119.355
Alex Van Halen,Pasadena,34.1561,-118.132
Alexa Micek,Oxnard,34.1914,-119.183
Alexander Cardinale,California,35.4586,-119.355
Alexandra Starlight,Oakland,37.8044,-122.273
Alexis Neiers,Westlake Village,34.1419,-118.819
Alfie Agnew,Fullerton,33.88,-117.929
Alfunction,Costa Mesa,33.665,-117.912
Ali Tabatabaee,La Habra,33.9319,-117.946
Alicia Myers,Los Angeles,34.05,-118.25
Alien Ant Farm,California,35.4586,-119.355
Alien Crime Syndicate,California,35.4586,-119.355
Alisa Childers,California,35.4586,-119.355
Alison Faith Levy,San Francisco,37.7833,-122.417
All Night Radio,California,35.4586,-119.355
All Shall Perish,California,35.4586,-119.355
All Together Separate,Riverside,33.9481,-117.396
All-4-One,Glendale,34.1461,-118.255
Allah-Las,California,35.4586,-119.355
Allegiance,California,35.4586,-119.355
Allen Drury,Porterville,36.0686,-119.027
Allen Stuart Drury,Porterville,36.0686,-119.027
Allfrumtha I,Inglewood,33.9575,-118.346
Allstar Weekend,California,35.4586,-119.355
Altered State,Huntington Beach,33.6928,-118.0
Alton McClain and Destiny,California,35.4586,-119.355
Alvin and the Chipmunks,California,35.4586,-119.355
Aly & AJ,Torrance,33.8347,-118.341
Ambrosia,California,35.4586,-119.355
Amen,California,35.4586,-119.355
America's Most Wanted,Oakland,37.8044,-122.273
American Juniors,California,35.4586,-119.355
American Pearl,California,35.4586,-119.355
American Steel,Oakland,37.8044,-122.273
Amick Byram,California,35.4586,-119.355
Amp Live,California,35.4586,-119.355
AmpLive,California,35.4586,-119.355
Amps for Christ,California,35.4586,-119.355
Amy Chow,California,35.4586,-119.355
Amy Cook,San Jose,37.3333,-121.9
Amy Crawford,Pacific Grove,36.6178,-121.921
An Angle,Sacramento,38.5556,-121.469
Anabel Englund,California,35.4586,-119.355
Ancestors,Los Angeles,34.05,-118.25
Andain,California,35.4586,-119.355
Anderson .Paak,California,35.4586,-119.355
Andre Afram Asmar,California,35.4586,-119.355
Andrea Barber,Whittier,33.9656,-118.024
Andrew Garcia,Moreno Valley,33.9431,-117.228
Andrew McMahon,Dana Point,33.4672,-117.698
André Previn,California,35.4586,-119.355
Andy Bloch,Nevada,39.0,-117.0
Andy DeMize,California,35.4586,-119.355
