celebrity,residence,x,y
CBE,Malibu,34.03,-118.779
* Bao Nguyen,Oakland,37.8044,-122.273
* Bonzai,Oakland,37.8044,-122.273
* Bonzai Bruce,Oakland,37.8044,-122.273
* Bonzai Bruce Bukkake,Oakland,37.8044,-122.273
* Bruce Bukakake,Oakland,37.8044,-122.273
* Bruce Nguyen,Oakland,37.8044,-122.273
* Ryan Tran,Oakland,37.8044,-122.273
* Vietnam Phenom,Oakland,37.8044,-122.273
*Alissa Flash,California,35.4586,-119.355
*Angelica,California,35.4586,-119.355
*Cheerleader Melissa,California,35.4586,-119.355
*Malicia,California,35.4586,-119.355
*Mariposa,California,35.4586,-119.355
*Melissa,California,35.4586,-119.355
*Melissa Anderson,California,35.4586,-119.355
*Miss Spartan,California,35.4586,-119.355
*Raisha Saeed,California,35.4586,-119.355
*Sheila Cardinal,California,35.4586,-119.355
*Wildfire,California,35.4586,-119.355
180px,California,35.4586,-119.355
A. James Gregor,Berkeley,37.8717,-122.275
A. Kingsley Macomber,Paicines,36.7286,-121.277
A. Latham Staples,California,35.4586,-119.355
Aaron Brink,Roseville,38.7524,-121.289
Aaron Brown,California,35.4586,-119.355
Aaron D. Ford,Nevada,39.0,-117.0
Aaron D. O'Connell,Belmont,37.5181,-122.292
Aaron Krane,San Francisco,37.7833,-122.417
Aaron Levie,California,35.4586,-119.355
Aaron Peskin,California,35.4586,-119.355
Aaron Pico,California,35.4586,-119.355
Aarti Mann,Los Angeles,34.05,-118.25
Abby Sunderland,Thousand Oaks,34.1894,-118.875
Abe Vigoda,California,35.4586,-119.355
Abhijeet Gholap,Cupertino,37.3175,-122.042
Abi Titmuss,California,35.4586,-119.355
"Abraham ""Avromie"" Summers",California,35.4586,-119.355
Achim Albrecht,California,35.4586,-119.355
Adam C. Gray,California,35.4586,-119.355
Adam Gazzaley,San Francisco,37.7833,-122.417
Adam Gray,California,35.4586,-119.355
Adam Irigoyen,Southern California,34.0,-117.0
Adam Kaufman,California,35.4586,-119.355
Adam Lilling,Los Angeles,34.05,-118.25
Adam Pally,Los Angeles,34.05,-118.25
Adam Savage,California,35.4586,-119.355
Adam Wierman,Pasadena,34.1561,-118.132
Adeo Ressi,California,35.4586,-119.355
Adore Delano,Azusa,34.1306,-117.907
Adrin Nazarian,California,35.4586,-119.355
Agenor Mafra-Neto,Riverside,33.9481,-117.396
Aija Terauda,California,35.4586,-119.355
Aja Brown,California,35.4586,-119.355
Al Fleming,California,35.4586,-119.355
Al Gore,Rancho Mirage,33.7692,-116.421
Al Katrazz,California,35.4586,-119.355
Al Muratsuchi,California,35.4586,-119.355
Al Scates,Encino,34.1592,-118.5
Alacrana Plata #2,California,35.4586,-119.355
Alain Chuard,California,35.4586,-119.355
Alan Aldridge,Los Angeles,34.05,-118.25
Alan Autry,Fresno,36.7478,-119.772
Alan Bates,Ashland,42.1914,-122.701
Alan Casden,Beverly Hills,34.0731,-118.399
Alan F. Daniels,Los Angeles,34.05,-118.25
Alan F. Horn,California,35.4586,-119.355
Alan Fitzgerald Daniels,Los Angeles,34.05,-118.25
Alan I. Casden,Beverly Hills,34.0731,-118.399
Alan Lowenthal,California,35.4586,-119.355
Alan Mruvka,Beverly Hills,34.0731,-118.399
Alan Nakanishi,Lodi,38.1289,-121.281
