Lat,Lon,zipcode
38.1289,-121.281,95241
39.5675,-120.81200000000001,0
37.375,-122.219,94028
37.8044,-122.273,94612-2202
37.8717,-122.275,94704
37.5181,-122.292,94002
37.7833,-122.417,94102
37.3175,-122.042,95014
37.8828,-122.18,94563
37.8736,-122.45700000000001,94920
40.63,-119.68,0
37.4528,-122.18299999999999,94025
34.0333,-117.867,91789
34.1233,-117.579,91739
34.1494,-117.97399999999999,91008
34.2414,-116.911,92315
34.1142,-116.432,92284
37.3714,-122.137,94023
33.9753,-117.759,91709
33.5033,-117.124,92592
33.665,-117.912,92626
33.8885,-117.81299999999999,92886
33.7396,-117.814,92780
33.6128,-117.656,92691
33.6885,-117.664,92610
38.0672,-117.23,89049
37.3544,-121.969,95051-1880
37.9756,-121.301,95204
37.6014,-120.95700000000001,95358
37.5192,-120.43799999999999,95369
37.6614,-120.994,95350
37.3478,-120.609,95301
37.19,-120.71,0
42.2233,-121.777,97601
35.0569,-118.25,93560
35.1322,-118.449,93561
35.3867,-118.977,93305
35.34,-118.72,0
38.2458,-122.631,94954
38.2578,-122.054,94533
34.0,-118.0,91745
34.1533,-118.762,91301
34.28,-118.5,91344
34.2081,-118.68799999999999,91307
34.1142,-118.361,90046
34.6833,-118.15,93534
34.1592,-118.5,91316-3402
34.0219,-118.48100000000001,90404
34.0519,-118.473,90049
34.1511,-118.448,91423
39.5117,-115.962,89316
40.5767,-124.26299999999999,95536
40.8664,-124.083,95518-4448
34.2077,-118.20700000000001,91011-3243
34.1717,-118.758,91377
40.9683,-117.727,89445
34.4545,-118.571,91354
34.1675,-118.661,91302-1405
34.0942,-118.1,91776
34.1739,-118.37899999999999,91601
34.5794,-118.117,93550
34.1419,-118.819,91361
34.0047,-118.43,90066
34.0944,-118.26799999999999,90039
34.1217,-118.41799999999999,90210
34.0762,-118.333,90004
38.94,-119.977,96151
38.9561,-119.76899999999999,89410
38.7556,-119.376,0
38.9853,-119.165,89447
37.9522,-122.557,94957
37.0828,-122.09,95005
37.6008,-122.40100000000001,94030
37.8217,-122.0,94526
37.5602,-122.35600000000001,94010
37.5833,-122.36399999999999,94010
37.9064,-122.065,94596
37.3688,-122.037,94086
37.9158,-122.31200000000001,94530
37.2724,-122.02,95070
34.1803,-118.32799999999999,91506
37.4828,-122.236,94062
42.4389,-123.32799999999999,97506
35.5187,-120.524,0
34.0178,-117.69,91710
34.0006,-117.969,91745
34.4206,-117.52,92371
36.7478,-119.772,93702
36.4164,-119.09899999999999,93286
36.2067,-119.34200000000001,93274
36.3275,-119.646,93230
36.8253,-119.70299999999999,93612
40.06,-122.15,96035
33.9481,-117.396,92506
33.5958,-117.588,92679
33.8361,-117.89,92805
33.6092,-117.73299999999999,92637
33.5997,-117.699,92653
33.73,-115.98,0
37.9061,-122.545,94941
37.3333,-121.9,95110-2007
34.1124,-118.285,90027
37.6689,-122.081,94541
38.3278,-122.742,94931
35.4586,-119.355,93280
35.3667,-119.01700000000001,93304
34.12,-118.34,90068
34.0144,-118.11399999999999,90640
34.0464,-118.447,90025
34.0764,-118.43,90024-2613
34.0819,-118.135,91803
34.1894,-118.875,91360
34.1561,-118.132,91101
34.0896,-118.42399999999999,90210
34.1162,-118.29299999999999,90027
34.1475,-118.351,91602
34.0078,-118.40100000000001,90230
38.1075,-122.57,94945
38.2889,-122.459,95476
38.5,-122.32,0
38.3047,-122.29899999999999,94559
38.9583,-122.626,95422
38.0194,-122.134,94553
38.51,-122.93,95436
38.04,-122.74,94950
38.5053,-122.47,94574
38.4486,-122.705,95404
34.2711,-118.73899999999999,93064
36.2086,-116.012,89041
34.1436,-118.395,91604
33.74,-118.3,90732
33.9833,-118.21700000000001,90255
33.9575,-118.346,90301
33.8889,-118.405,90266
33.9381,-118.131,90241
33.7683,-118.196,90802
33.8581,-118.37899999999999,90278
33.6928,-118.0,92648
33.9589,-118.445,90293
33.7933,-118.316,90717
34.0556,-118.417,90067
34.0481,-118.52600000000001,90272-3719
39.3103,-119.649,89440
39.2458,-119.95,89451
39.6583,-119.695,89441
39.1087,-119.744,89701
39.5272,-119.822,89503
39.1608,-119.75399999999999,89701
39.1675,-119.773,89703
39.5544,-119.736,89431
39.2906,-119.65799999999999,89440
37.78,-121.978,94583
37.2839,-121.955,95008
37.7022,-121.936,94588
37.9411,-121.936,94517
37.9319,-121.696,94513
37.7381,-121.434,95376
37.2361,-121.962,95032
37.5483,-121.999,94536
40.4164,-120.65299999999999,96130
37.4347,-121.895,95035
33.9442,-118.195,90280
33.8936,-118.30799999999999,90247
37.5964,-122.04799999999999,94587
37.7877,-122.40799999999999,94108
37.125,-122.125,95006
37.9481,-122.052,94520
37.4588,-122.43700000000001,94019
37.7561,-122.274,94501
37.4225,-122.165,94304
37.75,-122.28299999999999,0
37.8797,-122.546,94941
37.4208,-122.26,94062
37.0514,-122.056,95041
32.7983,-116.96,92020
32.8344,-116.771,91901
34.0669,-118.40100000000001,90212
38.5556,-121.469,95817
38.4383,-121.382,95624
38.5539,-121.738,95616
38.8986,-121.074,95603
37.1283,-119.695,0
36.7286,-121.277,95043
36.5553,-121.92299999999999,93922
36.9869,-121.946,95073
36.6,-121.9,93940
36.6778,-121.656,93901
42.1914,-122.70100000000001,97520
42.3238,-122.876,97501
42.3667,-122.917,97502
42.24,-122.78200000000001,97540
34.0608,-117.756,91768
34.2483,-117.189,92352
34.0547,-117.18299999999999,92373
42.4917,-122.97399999999999,97525
33.7408,-117.881,92703
33.0444,-117.272,92024
33.4378,-117.62,92674
33.6694,-117.823,92614
33.2797,-117.194,92003
33.0208,-117.279,92007
33.6414,-117.594,92688
33.1247,-117.081,92027-2310
34.03,-118.779,90265
39.0,-117.0,0
38.5744,-122.448,94508
34.0633,-118.319,90020
34.0561,-118.43,90024
34.0731,-118.399,90210
34.1161,-118.15,91030
34.1228,-118.113,91108
34.1383,-118.661,91302
34.2385,-118.463,91343
34.0998,-118.50299999999999,90049
34.2522,-118.287,91042
34.0878,-118.37200000000001,90069
38.4819,-120.845,95699
34.1328,-118.036,91006
37.4292,-122.13799999999999,94036
37.9094,-122.686,94924
42.4022,-124.415,97444
33.8347,-118.34100000000001,90503
33.8561,-118.00399999999999,90620
33.8664,-118.4,90254
33.7736,-118.361,90275
33.7594,-118.34200000000001,90274
33.7178,-118.073,92649
36.1397,-120.36,93210
34.05,-118.25,90071
37.5542,-122.31299999999999,94402
37.9625,-122.555,94960
37.7514,-122.432,94114
37.5319,-122.24799999999999,94065
37.4,-122.0,94085-3010
37.4955,-122.26700000000001,94070
37.3894,-122.08200000000001,94041
37.4586,-122.2,94027
37.9736,-122.531,94901
37.8503,-122.03200000000001,94507
34.2175,-118.369,91352-2054
34.2833,-118.5,91344
37.9358,-122.348,94801
39.1503,-123.208,95482
39.4097,-123.35600000000001,95490
39.2708,-123.788,95456
37.6864,-122.46799999999999,94014
34.0,-117.0,92320
34.1306,-117.90700000000001,91702
34.11,-117.72,91711
34.1,-117.3,92410
34.1308,-117.865,91740
34.0567,-117.919,91790
34.0419,-117.36399999999999,92324
34.4128,-117.306,92345
34.0483,-117.251,92354
34.0017,-117.821,91765
38.7524,-121.289,95678
34.1683,-118.605,91364
34.1403,-117.962,91010
33.8031,-117.83200000000001,92666
33.67,-117.78,92604
33.575,-117.726,92656
33.1936,-117.241,92083
33.5694,-117.20200000000001,92562
33.0239,-117.2,92067
33.9319,-117.946,90631
37.6625,-121.882,94566
33.5467,-117.64,92694
33.8161,-117.811,92861
33.9833,-117.37299999999999,92501
33.2405,-117.014,92082
33.5314,-117.76899999999999,92651
33.6167,-117.897,92662
33.88,-117.929,92832
33.2117,-117.32600000000001,92057
33.1219,-117.29700000000001,92009-1114
33.5319,-117.70200000000001,92677
38.6175,-122.866,95448
34.1886,-118.135,91001
34.1461,-118.255,91210
34.6217,-118.414,91390
34.4167,-118.506,91350
34.103,-118.605,90290
34.1,-118.333,90028
34.0833,-118.448,90077
34.0006,-118.155,90040
33.8239,-116.53,99262
33.7692,-116.421,92270
33.8239,-116.545,92262
33.7186,-116.34100000000001,92210
33.7158,-116.30799999999999,92210
33.8303,-116.53,92262
33.6753,-116.29799999999999,92253
33.7222,-116.374,92260
33.0708,-116.586,92038
39.2614,-121.01899999999999,95959
39.2192,-121.05799999999999,95945
39.4939,-121.745,95965
39.74,-121.85,95926
34.4492,-119.24700000000001,93023
34.4336,-119.632,93108
34.4258,-119.714,93101
34.2808,-119.295,93001
34.275,-119.228,0
34.2333,-119.03299999999999,93010
34.1914,-119.18299999999999,93030-5236
32.955,-117.264,92014
32.84,-117.277,92037
32.6583,-117.035,91902
32.7978,-117.24,92109
32.715,-117.162,92101
32.6278,-117.04799999999999,91911
32.7,-117.1,92113
32.97,-117.039,92064
32.9642,-117.26299999999999,92014
32.67,-117.242,0
37.6486,-118.97200000000001,93546
36.9719,-122.02600000000001,1982
37.165,-118.289,93513
35.3792,-120.853,93442
35.2742,-120.663,93401-8114
35.1208,-120.587,93433
33.79,-118.29700000000001,90710
33.9172,-118.34899999999999,90250
33.9908,-118.459,90291-3879
33.8683,-118.06700000000001,90703
33.7583,-118.36399999999999,90275
33.9214,-118.406,90245
33.8967,-118.225,90220
33.8881,-118.12799999999999,90706
33.8397,-118.26,90746
33.9022,-118.01,90638
34.2872,-118.439,91340
38.585,-121.303,95670
38.6722,-121.15799999999999,95630
38.5806,-121.53,95691
38.6514,-121.259,95628
38.005,-121.806,94509
38.6858,-121.08200000000001,95762
38.6233,-121.24799999999999,95628
37.3681,-122.098,94024
37.8869,-122.29799999999999,94710
37.5514,-122.266,94405
37.75,-122.49,94122-1515
37.8167,-122.23299999999999,94610
37.8428,-122.24600000000001,94618
37.9747,-122.56200000000001,94960
37.4704,-122.311,94062
37.3711,-122.037,94086
34.0288,-118.353,90016
